WorkItemID,ProjectID,WorkItemCode,WorkItemName,WorkItemCategory,WorkItemType,PlannedStartDate,PlannedFinishDate,Quantity,UnitOfMeasure,Priority,CurrentStatusID
WIT-000034,PRJ-005,PRJ-005-ITEM-000034,Exterior Reporting Package,Exterior,Milestone,2025-11-01,2026-02-05,332.76,hr,High,STS-004
WIT-000035,PRJ-001,PRJ-001-ITEM-000035,Safety Reporting Package,Safety,Package,2025-10-22,2026-01-25,352.88,m2,Critical,STS-003
WIT-000036,PRJ-002,PRJ-002-ITEM-000036,Structure Reporting Package,Structure,Task,2026-01-23,2026-02-28,230.0,m3,Low,STS-005
WIT-000037,PRJ-003,PRJ-003-ITEM-000037,Mechanical Reporting Package,Mechanical,Inspection,2025-10-23,2026-01-25,284.8,ea,Medium,STS-004
WIT-000038,PRJ-004,PRJ-004-ITEM-000038,Electrical Reporting Package,Electrical,Milestone,2026-01-07,2026-01-16,58.15,lot,High,STS-005
WIT-000039,PRJ-005,PRJ-005-ITEM-000039,Interior Reporting Package,Interior,Package,2026-04-03,2026-04-24,334.53,hr,Critical,STS-001
WIT-000040,PRJ-001,PRJ-001-ITEM-000040,Exterior Reporting Package,Exterior,Task,2026-03-03,2026-05-22,283.05,m2,Low,STS-003
WIT-000041,PRJ-002,PRJ-002-ITEM-000041,Safety Reporting Package,Safety,Inspection,2025-12-12,2026-02-09,382.73,m3,Medium,STS-002
WIT-000042,PRJ-003,PRJ-003-ITEM-000042,Structure Reporting Package,Structure,Milestone,2026-01-20,2026-04-01,277.24,ea,High,STS-004
WIT-000043,PRJ-004,PRJ-004-ITEM-000043,Mechanical Reporting Package,Mechanical,Package,2026-01-05,2026-03-23,280.04,lot,Critical,STS-005
WIT-000044,PRJ-005,PRJ-005-ITEM-000044,Electrical Reporting Package,Electrical,Task,2025-09-15,2025-12-20,16.38,hr,Low,STS-002
WIT-000045,PRJ-001,PRJ-001-ITEM-000045,Interior Reporting Package,Interior,Inspection,2026-03-08,2026-04-16,218.92,m2,Medium,STS-004
WIT-000046,PRJ-002,PRJ-002-ITEM-000046,Exterior Reporting Package,Exterior,Milestone,2026-01-24,2026-05-22,204.86,m3,High,STS-005
WIT-000047,PRJ-003,PRJ-003-ITEM-000047,Safety Reporting Package,Safety,Package,2025-09-08,2025-10-07,426.85,ea,Critical,STS-006
WIT-000048,PRJ-004,PRJ-004-ITEM-000048,Structure Reporting Package,Structure,Task,2026-04-16,2026-04-24,30.09,lot,Low,STS-005
WIT-000049,PRJ-005,PRJ-005-ITEM-000049,Mechanical Reporting Package,Mechanical,Inspection,2026-04-14,2026-05-15,141.41,hr,Medium,STS-003
WIT-000050,PRJ-001,PRJ-001-ITEM-000050,Electrical Reporting Package,Electrical,Milestone,2025-10-18,2026-02-05,331.3,m2,High,STS-006
WIT-000051,PRJ-002,PRJ-002-ITEM-000051,Interior Reporting Package,Interior,Package,2025-11-07,2025-12-15,278.96,m3,Critical,STS-004
WIT-000052,PRJ-003,PRJ-003-ITEM-000052,Exterior Reporting Package,Exterior,Task,2026-04-20,2026-06-22,332.49,ea,Low,STS-006
WIT-000053,PRJ-004,PRJ-004-ITEM-000053,Safety Reporting Package,Safety,Inspection,2026-05-23,2026-08-26,203.79,lot,Medium,STS-004
WIT-000054,PRJ-005,PRJ-005-ITEM-000054,Structure Reporting Package,Structure,Milestone,2025-02-22,2025-04-16,84.32,hr,High,STS-004
WIT-000055,PRJ-001,PRJ-001-ITEM-000055,Mechanical Reporting Package,Mechanical,Package,2025-10-16,2026-01-22,12.33,m2,Critical,STS-004
WIT-000056,PRJ-002,PRJ-002-ITEM-000056,Electrical Reporting Package,Electrical,Task,2026-01-18,2026-02-04,361.46,m3,Low,STS-005
WIT-000057,PRJ-003,PRJ-003-ITEM-000057,Interior Reporting Package,Interior,Inspection,2025-10-13,2025-10-28,231.48,ea,Medium,STS-003
WIT-000058,PRJ-004,PRJ-004-ITEM-000058,Exterior Reporting Package,Exterior,Milestone,2026-04-01,2026-06-27,251.02,lot,High,STS-007
WIT-000059,PRJ-005,PRJ-005-ITEM-000059,Safety Reporting Package,Safety,Package,2026-02-23,2026-03-18,77.0,hr,Critical,STS-007
WIT-000060,PRJ-001,PRJ-001-ITEM-000060,Structure Reporting Package,Structure,Task,2026-03-15,2026-05-16,223.63,m2,Low,STS-003
WIT-000061,PRJ-002,PRJ-002-ITEM-000061,Mechanical Reporting Package,Mechanical,Inspection,2026-01-10,2026-04-05,191.13,m3,Medium,STS-005
WIT-000062,PRJ-003,PRJ-003-ITEM-000062,Electrical Reporting Package,Electrical,Milestone,2026-01-12,2026-02-13,315.51,ea,High,STS-005
WIT-000063,PRJ-004,PRJ-004-ITEM-000063,Interior Reporting Package,Interior,Package,2025-11-17,2025-12-26,181.54,lot,Critical,STS-003
WIT-000064,PRJ-005,PRJ-005-ITEM-000064,Exterior Reporting Package,Exterior,Task,2025-06-18,2025-10-11,59.88,hr,Low,STS-005
WIT-000065,PRJ-001,PRJ-001-ITEM-000065,Safety Reporting Package,Safety,Inspection,2026-02-04,2026-02-19,480.99,m2,Medium,STS-002
WIT-000066,PRJ-002,PRJ-002-ITEM-000066,Structure Reporting Package,Structure,Milestone,2025-10-19,2025-12-05,350.15,m3,High,STS-005
WIT-000067,PRJ-003,PRJ-003-ITEM-000067,Mechanical Reporting Package,Mechanical,Package,2026-01-08,2026-04-27,133.67,ea,Critical,STS-007
WIT-000068,PRJ-004,PRJ-004-ITEM-000068,Electrical Reporting Package,Electrical,Task,2026-02-05,2026-05-08,389.6,lot,Low,STS-003
WIT-000069,PRJ-005,PRJ-005-ITEM-000069,Interior Reporting Package,Interior,Inspection,2026-01-30,2026-05-26,358.73,hr,Medium,STS-004
WIT-000070,PRJ-001,PRJ-001-ITEM-000070,Exterior Reporting Package,Exterior,Milestone,2025-12-29,2026-04-03,136.85,m2,High,STS-003
WIT-000071,PRJ-002,PRJ-002-ITEM-000071,Safety Reporting Package,Safety,Package,2026-04-01,2026-05-27,49.1,m3,Critical,STS-002
WIT-000072,PRJ-003,PRJ-003-ITEM-000072,Structure Reporting Package,Structure,Task,2026-05-07,2026-07-02,228.43,ea,Low,STS-004
WIT-000073,PRJ-004,PRJ-004-ITEM-000073,Mechanical Reporting Package,Mechanical,Inspection,2026-05-29,2026-09-14,101.98,lot,Medium,STS-004
WIT-000074,PRJ-005,PRJ-005-ITEM-000074,Electrical Reporting Package,Electrical,Milestone,2026-02-24,2026-05-22,290.03,hr,High,STS-005
WIT-000075,PRJ-001,PRJ-001-ITEM-000075,Interior Reporting Package,Interior,Package,2025-11-09,2025-12-19,89.21,m2,Critical,STS-004
WIT-000076,PRJ-002,PRJ-002-ITEM-000076,Exterior Reporting Package,Exterior,Task,2025-12-31,2026-02-27,379.5,m3,Low,STS-003
WIT-000077,PRJ-003,PRJ-003-ITEM-000077,Safety Reporting Package,Safety,Inspection,2025-12-03,2026-03-16,360.01,ea,Medium,STS-006
WIT-000078,PRJ-004,PRJ-004-ITEM-000078,Structure Reporting Package,Structure,Milestone,2026-01-18,2026-04-09,314.03,lot,High,STS-004
WIT-000079,PRJ-005,PRJ-005-ITEM-000079,Mechanical Reporting Package,Mechanical,Package,2025-03-28,2025-05-21,292.46,hr,Critical,STS-002
WIT-000080,PRJ-001,PRJ-001-ITEM-000080,Electrical Reporting Package,Electrical,Task,2026-04-22,2026-05-07,43.14,m2,Low,STS-006
WIT-000081,PRJ-002,PRJ-002-ITEM-000081,Interior Reporting Package,Interior,Inspection,2026-05-17,2026-08-04,208.49,m3,Medium,STS-005
WIT-000082,PRJ-003,PRJ-003-ITEM-000082,Exterior Reporting Package,Exterior,Milestone,2025-09-02,2025-12-06,247.5,ea,High,STS-005
WIT-000083,PRJ-004,PRJ-004-ITEM-000083,Safety Reporting Package,Safety,Package,2026-02-24,2026-03-05,165.6,lot,Critical,STS-006
WIT-000084,PRJ-005,PRJ-005-ITEM-000084,Structure Reporting Package,Structure,Task,2025-03-27,2025-06-15,52.6,hr,Low,STS-005
WIT-000085,PRJ-001,PRJ-001-ITEM-000085,Mechanical Reporting Package,Mechanical,Inspection,2025-09-29,2025-10-20,294.23,m2,Medium,STS-003
WIT-000086,PRJ-002,PRJ-002-ITEM-000086,Electrical Reporting Package,Electrical,Milestone,2026-06-02,2026-09-06,462.63,m3,High,STS-004
WIT-000087,PRJ-003,PRJ-003-ITEM-000087,Interior Reporting Package,Interior,Package,2026-02-11,2026-03-07,290.95,ea,Critical,STS-006
WIT-000088,PRJ-004,PRJ-004-ITEM-000088,Exterior Reporting Package,Exterior,Task,2026-05-09,2026-07-04,295.87,lot,Low,STS-004
WIT-000089,PRJ-005,PRJ-005-ITEM-000089,Safety Reporting Package,Safety,Inspection,2026-03-30,2026-05-13,12.38,hr,Medium,STS-006
WIT-000090,PRJ-001,PRJ-001-ITEM-000090,Structure Reporting Package,Structure,Milestone,2025-11-10,2025-12-02,241.67,m2,High,STS-007
WIT-000091,PRJ-002,PRJ-002-ITEM-000091,Mechanical Reporting Package,Mechanical,Package,2025-11-10,2026-03-05,391.58,m3,Critical,STS-004
WIT-000092,PRJ-003,PRJ-003-ITEM-000092,Electrical Reporting Package,Electrical,Task,2026-02-23,2026-03-07,243.84,ea,Low,STS-004
WIT-000093,PRJ-004,PRJ-004-ITEM-000093,Interior Reporting Package,Interior,Inspection,2025-11-26,2025-12-10,245.86,lot,Medium,STS-006
WIT-000094,PRJ-005,PRJ-005-ITEM-000094,Exterior Reporting Package,Exterior,Milestone,2025-07-05,2025-08-29,286.29,hr,High,STS-003
WIT-000095,PRJ-001,PRJ-001-ITEM-000095,Safety Reporting Package,Safety,Package,2025-10-06,2026-01-26,237.27,m2,Critical,STS-004
WIT-000096,PRJ-002,PRJ-002-ITEM-000096,Structure Reporting Package,Structure,Task,2025-11-14,2026-02-19,166.45,m3,Low,STS-004
WIT-000097,PRJ-003,PRJ-003-ITEM-000097,Mechanical Reporting Package,Mechanical,Inspection,2026-04-29,2026-06-03,260.82,ea,Medium,STS-001
WIT-000098,PRJ-004,PRJ-004-ITEM-000098,Electrical Reporting Package,Electrical,Milestone,2026-01-25,2026-05-07,11.78,lot,High,STS-006
WIT-000099,PRJ-005,PRJ-005-ITEM-000099,Interior Reporting Package,Interior,Package,2025-12-21,2026-02-14,413.32,hr,Critical,STS-004
WIT-000100,PRJ-001,PRJ-001-ITEM-000100,Exterior Reporting Package,Exterior,Task,2025-10-26,2025-11-01,70.98,m2,Low,STS-004
WIT-000101,PRJ-002,PRJ-002-ITEM-000101,Safety Reporting Package,Safety,Inspection,2026-05-28,2026-09-13,277.46,m3,Medium,STS-005
WIT-000102,PRJ-003,PRJ-003-ITEM-000102,Structure Reporting Package,Structure,Milestone,2025-11-13,2025-12-24,336.45,ea,High,STS-007
WIT-000103,PRJ-004,PRJ-004-ITEM-000103,Mechanical Reporting Package,Mechanical,Package,2025-11-10,2025-11-27,141.34,lot,Critical,STS-002
WIT-000104,PRJ-005,PRJ-005-ITEM-000104,Electrical Reporting Package,Electrical,Task,2025-04-15,2025-05-18,363.77,hr,Low,STS-003
WIT-000105,PRJ-001,PRJ-001-ITEM-000105,Interior Reporting Package,Interior,Inspection,2026-02-19,2026-05-10,384.56,m2,Medium,STS-005
WIT-000106,PRJ-002,PRJ-002-ITEM-000106,Exterior Reporting Package,Exterior,Milestone,2026-06-02,2026-07-13,458.09,m3,High,STS-001
WIT-000107,PRJ-003,PRJ-003-ITEM-000107,Safety Reporting Package,Safety,Package,2026-03-17,2026-04-03,115.88,ea,Critical,STS-002
WIT-000108,PRJ-004,PRJ-004-ITEM-000108,Structure Reporting Package,Structure,Task,2026-05-17,2026-06-18,277.87,lot,Low,STS-004
WIT-000109,PRJ-005,PRJ-005-ITEM-000109,Mechanical Reporting Package,Mechanical,Inspection,2025-10-14,2025-10-23,186.09,hr,Medium,STS-003
WIT-000110,PRJ-001,PRJ-001-ITEM-000110,Electrical Reporting Package,Electrical,Milestone,2025-12-20,2026-01-29,404.32,m2,High,STS-004
WIT-000111,PRJ-002,PRJ-002-ITEM-000111,Interior Reporting Package,Interior,Package,2026-01-06,2026-04-16,159.25,m3,Critical,STS-003
WIT-000112,PRJ-003,PRJ-003-ITEM-000112,Exterior Reporting Package,Exterior,Task,2026-04-27,2026-05-25,146.17,ea,Low,STS-004
WIT-000113,PRJ-004,PRJ-004-ITEM-000113,Safety Reporting Package,Safety,Inspection,2026-02-25,2026-06-19,258.01,lot,Medium,STS-004
WIT-000114,PRJ-005,PRJ-005-ITEM-000114,Structure Reporting Package,Structure,Milestone,2025-08-15,2025-12-02,468.09,hr,High,STS-005
WIT-000115,PRJ-001,PRJ-001-ITEM-000115,Mechanical Reporting Package,Mechanical,Package,2025-12-22,2026-01-25,83.14,m2,Critical,STS-002
WIT-000116,PRJ-002,PRJ-002-ITEM-000116,Electrical Reporting Package,Electrical,Task,2026-03-21,2026-05-26,218.11,m3,Low,STS-004
WIT-000117,PRJ-003,PRJ-003-ITEM-000117,Interior Reporting Package,Interior,Inspection,2025-09-29,2025-10-09,496.2,ea,Medium,STS-006
WIT-000118,PRJ-004,PRJ-004-ITEM-000118,Exterior Reporting Package,Exterior,Milestone,2026-02-19,2026-03-13,374.56,lot,High,STS-005
WIT-000119,PRJ-005,PRJ-005-ITEM-000119,Safety Reporting Package,Safety,Package,2026-02-01,2026-05-19,445.51,hr,Critical,STS-005
WIT-000120,PRJ-001,PRJ-001-ITEM-000120,Structure Reporting Package,Structure,Task,2026-01-10,2026-02-09,259.91,m2,Low,STS-004
WIT-000121,PRJ-002,PRJ-002-ITEM-000121,Mechanical Reporting Package,Mechanical,Inspection,2025-11-16,2026-03-03,158.65,m3,Medium,STS-004
WIT-000122,PRJ-003,PRJ-003-ITEM-000122,Electrical Reporting Package,Electrical,Milestone,2025-08-13,2025-08-20,331.17,ea,High,STS-005
WIT-000123,PRJ-004,PRJ-004-ITEM-000123,Interior Reporting Package,Interior,Package,2026-04-21,2026-07-23,187.46,lot,Critical,STS-004
WIT-000124,PRJ-005,PRJ-005-ITEM-000124,Exterior Reporting Package,Exterior,Task,2026-04-24,2026-08-08,373.65,hr,Low,STS-005
WIT-000125,PRJ-001,PRJ-001-ITEM-000125,Safety Reporting Package,Safety,Inspection,2025-10-18,2025-11-02,131.97,m2,Medium,STS-007
WIT-000126,PRJ-002,PRJ-002-ITEM-000126,Structure Reporting Package,Structure,Milestone,2025-11-16,2025-11-21,121.24,m3,High,STS-007
WIT-000127,PRJ-003,PRJ-003-ITEM-000127,Mechanical Reporting Package,Mechanical,Package,2026-03-06,2026-06-26,62.26,ea,Critical,STS-004
WIT-000128,PRJ-004,PRJ-004-ITEM-000128,Electrical Reporting Package,Electrical,Task,2026-01-16,2026-01-28,77.49,lot,Low,STS-004
WIT-000129,PRJ-005,PRJ-005-ITEM-000129,Interior Reporting Package,Interior,Inspection,2026-03-10,2026-06-18,90.45,hr,Medium,STS-005
WIT-000130,PRJ-001,PRJ-001-ITEM-000130,Exterior Reporting Package,Exterior,Milestone,2025-12-21,2026-02-06,437.41,m2,High,STS-007
WIT-000131,PRJ-002,PRJ-002-ITEM-000131,Safety Reporting Package,Safety,Package,2025-12-09,2026-02-20,99.02,m3,Critical,STS-003
WIT-000132,PRJ-003,PRJ-003-ITEM-000132,Structure Reporting Package,Structure,Task,2025-12-23,2026-01-29,388.93,ea,Low,STS-003
WIT-000133,PRJ-004,PRJ-004-ITEM-000133,Mechanical Reporting Package,Mechanical,Inspection,2025-11-21,2025-12-31,485.94,lot,Medium,STS-004
WIT-000134,PRJ-005,PRJ-005-ITEM-000134,Electrical Reporting Package,Electrical,Milestone,2025-08-19,2025-10-20,72.8,hr,High,STS-003
WIT-000135,PRJ-001,PRJ-001-ITEM-000135,Interior Reporting Package,Interior,Package,2026-01-31,2026-04-03,7.95,m2,Critical,STS-005
WIT-000136,PRJ-002,PRJ-002-ITEM-000136,Exterior Reporting Package,Exterior,Task,2026-02-06,2026-03-03,66.78,m3,Low,STS-001
WIT-000137,PRJ-003,PRJ-003-ITEM-000137,Safety Reporting Package,Safety,Inspection,2025-10-10,2025-11-10,339.15,ea,Medium,STS-004
WIT-000138,PRJ-004,PRJ-004-ITEM-000138,Structure Reporting Package,Structure,Milestone,2026-04-14,2026-08-08,253.66,lot,High,STS-004
WIT-000139,PRJ-005,PRJ-005-ITEM-000139,Mechanical Reporting Package,Mechanical,Package,2026-04-08,2026-04-27,347.44,hr,Critical,STS-004
WIT-000140,PRJ-001,PRJ-001-ITEM-000140,Electrical Reporting Package,Electrical,Task,2026-01-05,2026-04-08,100.69,m2,Low,STS-007
WIT-000141,PRJ-002,PRJ-002-ITEM-000141,Interior Reporting Package,Interior,Inspection,2026-05-12,2026-07-22,402.26,m3,Medium,STS-004
WIT-000142,PRJ-003,PRJ-003-ITEM-000142,Exterior Reporting Package,Exterior,Milestone,2025-08-13,2025-08-20,369.75,ea,High,STS-004
WIT-000143,PRJ-004,PRJ-004-ITEM-000143,Safety Reporting Package,Safety,Package,2026-05-29,2026-08-24,66.4,lot,Critical,STS-005
WIT-000144,PRJ-005,PRJ-005-ITEM-000144,Structure Reporting Package,Structure,Task,2025-10-01,2025-11-24,463.85,hr,Low,STS-004
WIT-000145,PRJ-001,PRJ-001-ITEM-000145,Mechanical Reporting Package,Mechanical,Inspection,2026-05-25,2026-06-13,199.39,m2,Medium,STS-005
WIT-000146,PRJ-002,PRJ-002-ITEM-000146,Electrical Reporting Package,Electrical,Milestone,2025-11-28,2026-03-24,244.8,m3,High,STS-007
WIT-000147,PRJ-003,PRJ-003-ITEM-000147,Interior Reporting Package,Interior,Package,2025-10-01,2025-11-09,331.77,ea,Critical,STS-004
WIT-000148,PRJ-004,PRJ-004-ITEM-000148,Exterior Reporting Package,Exterior,Task,2026-02-05,2026-03-18,143.94,lot,Low,STS-004
WIT-000149,PRJ-005,PRJ-005-ITEM-000149,Safety Reporting Package,Safety,Inspection,2025-05-11,2025-09-02,462.48,hr,Medium,STS-007
WIT-000150,PRJ-001,PRJ-001-ITEM-000150,Structure Reporting Package,Structure,Milestone,2025-10-21,2025-12-22,278.04,m2,High,STS-003
WIT-000151,PRJ-002,PRJ-002-ITEM-000151,Mechanical Reporting Package,Mechanical,Package,2026-05-21,2026-05-28,317.35,m3,Critical,STS-003
WIT-000152,PRJ-003,PRJ-003-ITEM-000152,Electrical Reporting Package,Electrical,Task,2025-10-09,2026-01-18,71.03,ea,Low,STS-004
WIT-000153,PRJ-004,PRJ-004-ITEM-000153,Interior Reporting Package,Interior,Inspection,2026-02-08,2026-02-25,210.14,lot,Medium,STS-004
WIT-000154,PRJ-005,PRJ-005-ITEM-000154,Exterior Reporting Package,Exterior,Milestone,2025-09-17,2025-09-22,298.43,hr,High,STS-007
WIT-000155,PRJ-001,PRJ-001-ITEM-000155,Safety Reporting Package,Safety,Package,2026-05-02,2026-08-26,466.58,m2,Critical,STS-007
WIT-000156,PRJ-002,PRJ-002-ITEM-000156,Structure Reporting Package,Structure,Task,2026-01-08,2026-04-07,234.22,m3,Low,STS-005
WIT-000157,PRJ-003,PRJ-003-ITEM-000157,Mechanical Reporting Package,Mechanical,Inspection,2026-05-15,2026-08-20,392.6,ea,Medium,STS-004
WIT-000158,PRJ-004,PRJ-004-ITEM-000158,Electrical Reporting Package,Electrical,Milestone,2026-03-08,2026-06-18,55.46,lot,High,STS-005
WIT-000159,PRJ-005,PRJ-005-ITEM-000159,Interior Reporting Package,Interior,Package,2025-07-19,2025-07-26,414.88,hr,Critical,STS-004
WIT-000160,PRJ-001,PRJ-001-ITEM-000160,Exterior Reporting Package,Exterior,Task,2026-06-03,2026-07-06,117.09,m2,Low,STS-001
WIT-000161,PRJ-002,PRJ-002-ITEM-000161,Safety Reporting Package,Safety,Inspection,2026-01-29,2026-05-05,265.85,m3,Medium,STS-006
WIT-000162,PRJ-003,PRJ-003-ITEM-000162,Structure Reporting Package,Structure,Milestone,2026-02-22,2026-05-25,434.0,ea,High,STS-005
WIT-000163,PRJ-004,PRJ-004-ITEM-000163,Mechanical Reporting Package,Mechanical,Package,2026-05-03,2026-07-16,301.95,lot,Critical,STS-005
WIT-000164,PRJ-005,PRJ-005-ITEM-000164,Electrical Reporting Package,Electrical,Task,2025-08-25,2025-10-02,187.72,hr,Low,STS-004
WIT-000165,PRJ-001,PRJ-001-ITEM-000165,Interior Reporting Package,Interior,Inspection,2025-09-29,2025-11-20,213.52,m2,Medium,STS-003
WIT-000166,PRJ-002,PRJ-002-ITEM-000166,Exterior Reporting Package,Exterior,Milestone,2025-11-23,2025-12-11,433.88,m3,High,STS-007
WIT-000167,PRJ-003,PRJ-003-ITEM-000167,Safety Reporting Package,Safety,Package,2026-04-13,2026-07-01,227.49,ea,Critical,STS-005
WIT-000168,PRJ-004,PRJ-004-ITEM-000168,Structure Reporting Package,Structure,Task,2026-04-08,2026-06-13,119.09,lot,Low,STS-001
WIT-000169,PRJ-005,PRJ-005-ITEM-000169,Mechanical Reporting Package,Mechanical,Inspection,2025-09-13,2025-10-16,373.26,hr,Medium,STS-003
WIT-000170,PRJ-001,PRJ-001-ITEM-000170,Electrical Reporting Package,Electrical,Milestone,2025-09-27,2026-01-06,53.53,m2,High,STS-002
WIT-000171,PRJ-002,PRJ-002-ITEM-000171,Interior Reporting Package,Interior,Package,2025-10-20,2026-01-26,34.21,m3,Critical,STS-005
WIT-000172,PRJ-003,PRJ-003-ITEM-000172,Exterior Reporting Package,Exterior,Task,2025-12-17,2026-02-14,73.94,ea,Low,STS-005
WIT-000173,PRJ-004,PRJ-004-ITEM-000173,Safety Reporting Package,Safety,Inspection,2025-12-15,2026-02-26,412.51,lot,Medium,STS-004
WIT-000174,PRJ-005,PRJ-005-ITEM-000174,Structure Reporting Package,Structure,Milestone,2025-09-02,2025-10-13,72.79,hr,High,STS-007
WIT-000175,PRJ-001,PRJ-001-ITEM-000175,Mechanical Reporting Package,Mechanical,Package,2025-11-11,2025-12-21,460.56,m2,Critical,STS-005
WIT-000176,PRJ-002,PRJ-002-ITEM-000176,Electrical Reporting Package,Electrical,Task,2026-04-08,2026-06-20,143.08,m3,Low,STS-003
WIT-000177,PRJ-003,PRJ-003-ITEM-000177,Interior Reporting Package,Interior,Inspection,2026-03-12,2026-04-05,77.65,ea,Medium,STS-005
WIT-000178,PRJ-004,PRJ-004-ITEM-000178,Exterior Reporting Package,Exterior,Milestone,2026-04-10,2026-06-06,11.55,lot,High,STS-001
